"Levels of Key Employment Indicators: April 2005 to June 2026"

"Year";"Month";"Total Population 15 Years Old and Over Both sexes";"Total Population 15 Years Old and Over Male";"Total Population 15 Years Old and Over Female";"Persons in the Labor Force Both sexes";"Persons in the Labor Force Male";"Persons in the Labor Force Female";"Employed Persons Both sexes";"Employed Persons Male";"Employed Persons Female";"Unemployed Persons Both sexes";"Unemployed Persons Male";"Unemployed Persons Female";"Underemployed Persons Both sexes";"Underemployed Persons Male";"Underemployed Persons Female"
"2016";"Annual";68310.620;34184.066;34126.554;43360.939;26521.040;16839.899;40997.968;25034.788;15963.181;2362.970;1486.252;876.719;7512.544;5175.829;2336.715
"2017";"Annual";69890.686;35003.807;34886.879;42774.698;26667.402;16107.296;40333.992;25066.895;15267.097;2440.706;1600.507;840.199;6505.706;4465.670;2040.037
"2018";"Annual";71339.377;35781.919;35557.458;43459.905;26880.358;16579.547;41156.535;25424.309;15732.226;2303.371;1456.049;847.322;6734.331;4597.185;2137.146
"2019";"Annual";72143.459;36223.025;35920.435;44197.118;27104.740;17092.379;41938.013;25697.921;16240.092;2259.106;1406.819;852.287;5778.283;3928.176;1850.107
"2020";"Annual";73732.465;37029.448;36703.017;43878.159;27049.834;16828.325;39377.842;24179.071;15198.771;4500.318;2870.763;1629.554;6395.121;4327.980;2067.141
"2021";"Annual";75301.088;37812.738;37488.349;47703.143;28498.000;19205.143;43988.293;26367.112;17621.180;3714.851;2130.888;1583.963;7002.833;4670.463;2332.370
"2022";"Annual";76594.062;38446.009;38148.053;49557.727;29131.911;20425.817;46886.636;27636.786;19249.850;2671.091;1495.125;1175.966;6676.082;4345.177;2330.905
"2023";"Annual";77609.913;38965.444;38644.469;50370.788;29439.127;20931.661;48177.763;28215.973;19961.790;2193.025;1223.154;969.871;5943.946;3886.838;2057.108
"2024";"Annual";78826.956;39557.592;39269.364;50784.507;29659.130;21125.378;48841.456;28580.929;20260.527;1943.052;1078.201;864.851;5818.124;3783.915;2034.208
"2025";"Annual";79857.350;40091.950;39765.400;51156.279;29920.489;21235.790;49013.170;28701.764;20311.406;2143.109;1218.725;924.384;5823.357;3822.694;2000.663
